Player,Tkl,TklW,Blocks,Interceptions,Clr,season_name
Squad Total,584,336,398,351,754,2019-2020
Squad Total,456,252,368,351,643,2020-2021
Squad Total,540,311,386,296,658,2021-2022
Squad Total,568,343,362,237,599,2022-2023
Squad Total,396,219,270,183,312,2023-2024
