Player,MP,Min,GA,GA90,SoTA,Saves,SavePercentage,CS,PKatt,PKsv,season_name
Squad Total,38,3420,48,1.26,193,144,78.8,10,8,1,2019-2020
Squad Total,38,3417,39,1.03,129,93,71.3,12,3,1,2020-2021
Squad Total,38,3420,48,1.26,147,100,70.7,13,6,0,2021-2022
Squad Total,38,3420,43,1.13,136,94,70.6,14,5,0,2022-2023
Squad Total,24,2160,22,0.92,59,37,64.4,9,2,1,2023-2024
