Player,Goals,Shots,ShotsonTarget,ShotsonTargetPercent,Shots_Per90,ShotsonTarget_Per90,GoalsPerShot,GoalsPerShotsonTarget,ShotDistance,xG,season_name
Squad Total,56,403,146,36.2,10.61,3.84,0.13,0.36,16.4,47.0,2019-2020
Squad Total,53,453,140,30.9,11.92,3.68,0.1,0.34,17.7,51.8,2020-2021
Squad Total,60,581,186,32.0,15.29,4.89,0.09,0.3,17.8,60.5,2021-2022
Squad Total,84,589,194,32.9,15.5,5.11,0.14,0.42,16.0,71.9,2022-2023
Squad Total,52,398,126,31.7,16.58,5.25,0.11,0.36,16.1,47.9,2023-2024
