Player,Position,MatchesPlayed,Starts,MinutesPlayed,Goals,Assists,GoalContribution,NonPenaltyGoals,PenaltyScored,YellowCard,RedCard,xG,xAG,ProgressiveCarries,ProgressivePasses,ProgressivePassesRecevied,Goals_Per90,Assists_Per90,GoalContribution_Per90,xG_Per90,xAG_Per90,season_name
Squad Total,0,38,418,3420.0,56.0,35.0,91.0,53.0,3.0,88.0,5.0,47.0,31.4,815.0,1641.0,1630.0,1.47,0.92,2.39,1.24,0.83,2019-2020
Squad Total,0,38,418,3420.0,53.0,38.0,91.0,47.0,6.0,49.0,5.0,51.8,35.1,758.0,1760.0,1748.0,1.39,1.0,2.39,1.36,0.92,2020-2021
Squad Total,0,38,418,3420.0,60.0,41.0,101.0,55.0,5.0,67.0,4.0,60.5,40.2,734.0,1655.0,1642.0,1.58,1.08,2.66,1.59,1.06,2021-2022
Squad Total,0,38,418,3420.0,84.0,64.0,148.0,81.0,3.0,51.0,0.0,71.9,53.8,824.0,2049.0,2024.0,2.21,1.68,3.89,1.89,1.41,2022-2023
Squad Total,0,24,264,2160.0,52.0,36.0,88.0,45.0,7.0,39.0,2.0,47.9,33.5,547.0,1407.0,1394.0,2.17,1.5,3.67,1.99,1.39,2023-2024
