Player,Touches,TouchesDefense,AttemptedTakeons,SuccessfulTakeons,SuccessfulTakeonsPercent,Carries,TotalCarryDistance,season_name
Squad Total,24424,2737,697,411,59.0,14410,85069,2019-2020
Squad Total,25431,2426,535,296,55.3,15543,83237,2020-2021
Squad Total,23780,2227,590,319,54.1,13993,73530,2021-2022
Squad Total,25909,1994,751,351,46.7,15924,84012,2022-2023
Squad Total,17211,1210,438,180,41.1,10901,53552,2023-2024
