Player,CompletedPass,AttemptedPass,PassCompletionPercent,KeyPass,KeyPass_Final3rd,PassesPenaltyArea,season_name
Squad Total,16634,20410,81.5,298,1164,311,2019-2020
Squad Total,18041,21807,82.7,332,1377,325,2020-2021
Squad Total,16176,19843,81.5,437,1354,329,2021-2022
Squad Total,18281,21969,83.2,443,1637,459,2022-2023
Squad Total,12528,14743,85.0,314,1055,336,2023-2024
