Player,FoulsCommitted,FoulsDrawn,Offside,BallRecoveries,AerialDuelsWon,AerialDuelsLost,season_name
Squad Total,421,437,73,1861,501,589,2019-2020
Squad Total,346,400,61,1838,504,594,2020-2021
Squad Total,365,357,66,1861,463,572,2021-2022
Squad Total,373,435,56,1984,486,559,2022-2023
Squad Total,231,259,53,1124,312,329,2023-2024
